arquivo_json;pacote;imagem;id;dedo;antes;depois;acoes
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165843_1081526_frame_0000.png;tec;Mindinho - Direita;"[Dedo Fora da Área:5; Scanner Sujo:3]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_5d_dedao_1703165768_185232_frame_0099.png;tec;Dedão - Direita;"[Segmentação Boa:3; Dedo Fora da Área:1; Scanner Sujo:1; Manchas na Digital:2]";[Segmentação Boa:3];"Gabarito é Segmentação Boa; mantida Segmentação Boa e removidos erros extras"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165843_1081526_frame_0001.png;tec;Mindinho - Direita;"[Dedo Fora da Área:5; Scanner Sujo:2]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165843_1081526_frame_0002.png;tec;Mindinho - Direita;"[Dedo Fora da Área:5; Scanner Sujo:2]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165843_1081526_frame_0003.png;tec;Mindinho - Direita;"[Dedo Fora da Área:5; Scanner Sujo:1]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165843_1081526_frame_0004.png;tec;Mindinho - Direita;"[Dedo Fora da Área:5; Scanner Sujo:3]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165843_1081526_frame_0005.png;tec;Mindinho - Direita;"[Scanner Sujo:3; Dedo Fora da Área:5]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165843_1081526_frame_0006.png;tec;Mindinho - Direita;"[Dedo Fora da Área:5; Scanner Sujo:5]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165843_1081526_frame_0007.png;tec;Mindinho - Direita;"[Scanner Sujo:5; Dedo Fora da Área:5]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165843_1081526_frame_0008.png;tec;Mindinho - Direita;"[Dedo Fora da Área:5; Scanner Sujo:3]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165843_1081526_frame_0009.png;tec;Mindinho - Direita;"[Dedo Fora da Área:5; Scanner Sujo:2]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165866_398926_frame_0055.png;tec;Mindinho - Direita;"[Dedo Fora da Área:5; Scanner Sujo:2]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165866_398926_frame_0066.png;tec;Mindinho - Direita;"[Dedo Fora da Área:5; Scanner Sujo:4]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165866_398926_frame_0077.png;tec;Mindinho - Direita;"[Dedo Fora da Área:5; Scanner Sujo:3]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165866_398926_frame_0088.png;tec;Mindinho - Direita;"[Dedo Fora da Área:5; Scanner Sujo:3]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
resultado - Gabriel.json;imagens_unificadas.zip;tec_1d_mind_1703165866_398926_frame_0099.png;tec;Mindinho - Direita;"[Scanner Sujo:4; Dedo Fora da Área:5]";[Dedo Fora da Área:5];"Dedo Fora da Área grau 5 é exclusivo; outros rótulos removidos"
